id,st_address,ad_hist,ad_city,post_code,coords_lat,coords_long,description,more_info,prim_source,org_lcp,org_unia,org_iafe_iasb,org_wasu,org_wisu,org_apu,org_npu,org_cwa,org_csa,org_paf,day_month_yr,month_yr,year_first,year_last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,single_event,mulltiple_events,citation,entrant,residential,res_cntry,social,political,discrimination,paid_work,black_org_hq,bombing,nightlife,civ_defence,evacuation,religious,education,immigration,us_military_hq,us_military_social,uk_govt_hq,uk_govt_social,other_govt,healthcare,arts ,sport,short_term_residence
l0014,Cornwall Street,,London,E1 2QW,51.511453,-0.058735,"Site of the street where Kenny Lynch, son of Oscar Lynch from Barbados and mother Amelia, remembers being bombed out of three houses during the Blitz. Kenny Lynch later had a successful musical career after the war.",https://youtu.be/VBihdZys2qk,,,,,,,,,,,,,,1938,1947,,,,1,1,1,1,1,1,1,1,1,1,,,(Bourne 2010: 59-60),OA 16/10/19,1,,,,,,,1,,,,,,,,,,,,,,,
l0015,Houses of Parliament,,London,SW1A 0AA,51.500364,-0.124337,"Site of the Houses of Parliament, visited by Jamaican technicians working in Liverpool whose visit to the capital was sponsored by the League of Coloured Peoples. In addition, Guyanese clarinetist and bandleader Rudolph Dunbar reported on debates over the Italian invasion of Ethiopia in 1935 and weekly West African Parliamentary Committee meetings took place from 1942.",,,1,,,,,,,,,,,,1936,,,1,,,,,,1,1,1,1,1,1,,,"(Bourne 2010: 63), (Adi 1998: 124), (Matera 2015: 310)","OA 16/10/19, WW 03/02/20, WW 05/02/20",,,,1,,,,,,,,,,,,,1,,,,,,
l0016,Tower of London,,London,EC3N 4AB,51.508527,-0.076582,"Site of the Tower of London, visited by Jamaican technicians working in Liverpool whose visit to the capital in 1942 was sponsored by the League of Coloured Peoples.",,,1,,,,,,,,,,,July.42,1942,,,,,,,,,1,,,,,,,,(Bourne 2010: 63),OA 16/10/19,,,1,,,,,,,,,,,,,,,,,,,,
l0017,St Paul's Cathedral,,London,EC4M 8AD,51.513859,-0.098415,"Site of St. Paul's Cathedral, visited by Jamaican technicians working in Liverpool whose visit to the capital in 1942 sponsored by the League of Coloured Peoples.",,,1,,,,,,,,,,,July.42,1942,,,,,,,,,1,,,,,,,,(Bourne 2010: 63),OA 16/10/19,,,1,,,,,,,,,1,,,,,,,,,,,
l0018,Madame Tussauds,,London,NW1 5LR,51.522971,-0.154329,"Site of Madame Tussauds, visited by Jamaican technicians working in Liverpool whose visit to the capital in 1942 was sponsored by the League of Coloured Peoples. It was also visited by African American soldiers of the 643rd Port Company during leave.",,,1,,,,,,,,,,,July.42,1942,1945,,,,,,,,1,,,1,,,,,"(Bourne 2010: 63), (Black 1947: 47)","OA 16/10/19, WW 03/13/20",,,1,,,,,,,,,,,,,1,,,,,,,
l0019,2-5 Lambeth Road,,London,SE1 6HR,51.497909,-0.105985,Site of the cinema where black Londoner Len Bradbook worked. Bradbook lived nearby and was also involved in civilian defence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Bourne 2010: 72),OA 16/10/19,,,,,,1,,,,1,,,,,,,,,,,,,
l0020,,"New Florida Club, Bruton Mews",London,W1J 6LY,51.510935,-0.145109,"Site of the New Florida Nightclub, co-owned by American jazz singer Adelaide Hall and Trinidadian entrepreneur Bertram Hicks. This was a private members club popular with service personnel which was visited by Bob Hope and Fred Astaire and was bombed in October 1940.",https://www.youtube.com/watch?v=SxEruseWsMU,,,,,,,,,,,,,,1939,,,,,,1,1,1,1,1,1,1,,,,,(Bourne 2010: 76),OA 16/10/19,,,1,,,1,,1,1,,,,,,,1,,,,,,,
l0021,135 Rushey Green,Lewisham Hippodrome,London,SE6 4BQ,51.446062,-0.019015,Site of the Lewisham Hippodrome where American jazz singer Adelaide Hall performed to a crowd in the midst of an air raid in the summer of 1940.,,,,,,,,,,,,,26/08/1940,August.40,1940,,,,,,,1,,,,,,,,,,(Bourne 2010: 77-8),OA 16/10/19,,,,,,1,,1,1,,,,,,,,,,,,,,
l0022,Prince of Wales Theatre,,London,W1D 6AS,51.51022,-0.132062,"Site of The Prince of Wales Theatre, where Jamaican musician Leslie Hutchinson appeared in a production of 'Happidrome', a popular BBC radio series of the time.",,,,,,,,,,,,,,,1942,,,,,,,,,1,,,,,,,,(Bourne 2010: 85),OA 14/01/20,,,,,,1,,,1,,,,,,,,,,,,,,
l0023,Royal Albert Hall,,London,SW7 2AP,51.501002,-0.177527,"Site of the Royal Albert Hall, where many black performers including Jamican Leslie 'Hutch' Hutchinson and American Paul Robeson appeared. The Hall held fundraising galas including the 1943 event 'Seventy Years of Song', where 'Hutch' performed in aid of 'Toc H' and hosted a giant rally for Republic Spain in June 1937. Guyanese clarinetist and bandleader Rudolph Dunbar conducted the London Philharmonic here in 1942, attracting an audience of 7,000. In 1945 the World Youth Conference took place here, with many delegates coming from Asia, Africa and the Caribbean. ",,,,,,,,,,,,,,January.35,1935,1945,1,,1,1,,,,1,1,,1,,,,,"(Bourne 2010: 85), (Robeson Jr. 2001: 223/292), (McDuffie 2011: 153)","OA 14/01/20, WW 21/01/20, WW 12/02/20",,,,,,1,,,1,,,,,,,,,,,,,,
l0024,Piccadilly Theatre,,London,W1D 7DY,51.51091,-0.135591,"Site of the Piccadilly Theatre, where American singer, actress and entertainer Elisabeth Welch joined an all-star cast at benefit concert for London fire service orphans. Others on the line up included Noel Coward and John Gielgud.",,,,,,,,,,,,,,September.41,1941,,,,,,,,1,,,,,,,,,(Bourne 2010: 86),OA 14/01/20,,,,,,1,,,1,,,,,,,,,,,,,,
l0025,Stage Door Canteen,,London,SW1Y 6HY,51.509177,-0.13628,"Site of the Stage Door Canteen, opened by Bing Crosby in 1944 and very popular with US service personnel. American singer, actress and entertainer Elisabeth Welch was a regular performer.",,,,,,,,,,,,,,,1944,,,,,,,,,,,1,1,,,,,(Bourne 2010: 87),OA 14/01/20,,,,,,1,,,1,,,,,,,1,,,,,,,
l0026,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,Site of the Old Florida Club where jazz band leader and dancer Ken 'Snakehips' Johnson and his band had a residency between 1936-1938. It was completely destroyed by a German bomb in 1940.,,,,,,,,,,,,,,,1936,1940,,1,1,1,1,1,,,,,,,,,,"(Bourne 2010: 89), (Oxford Companion 2007: 522)","OA 14/01/20, WW 30/01/20)",,,,,,1,,,1,,,,,,,,,,,,,,
l0027,,Willerby's,London,,unknown,unknown,Site of Willerby's Club where jazz band leader and dancer Ken 'Snakehips' Johnson and his band had a residency in 1939,,,,,,,,,,,,,,,1939,,,,,,1,,,,,,,,,,,(Bourne 2010: 89),OA 14/01/20,,,,,,1,,,1,,,,,,,,,,,,,,
l0028,,Cafe de Paris,London,W1D 6BL,51.510451,-0.131883,"Site of the Cafe de Paris where jazz band leader and dancer Ken 'Snakehips' Johnson his band - widely regarded as the best in London - played during the Blitz.  However, a German bomb landed on the building in March 1941, killing Ken and several others in the band. The underground venue had previously been 'advertised as London's safest restaurant'.",https://londonist.com/london/history/when-a-music-legend-was-killed-playing-in-central-london,,,,,,,,,,,,,,1939,1941,,,,,1,1,1,,,,,,,,,"(Bourne 2010: 89), (FitzGibbon 1957: 245-6)","OA 14/01/20, WW 13/02/20",,,,,,1,,1,1,,,,,,,,,,,,,,
l0029,,Aggrey House ,London,WC1N 2LX,51.52365,-0.11633,"Site of Aggrey House, a hostel set up by the Colonial Office and used by people from across west Africa and the Caribbean and some from south and east Africa. Leaders of the West African Students Union (WASU) were fiercely critical of the initiative which they saw as another instance of the British government's attempt to control colonial subjects. Nonetheless, it became a popular destination for black visitors to the capital in the late 1930s and early 1940s.",https://dcrn.northeastern.edu/aggrey-house/,,1,,1,1,,,,,,,,,1934,1943,1,1,1,1,1,1,1,1,1,,,,,,,(CO 876),"WW 14/01/20, OA 28/01/20",,,1,1,1,,,,,,,,1,,,,1,,,,,,1
l0030,,Colonial Centre,London,WC1H 0DB,51.522461,-0.12724,"Site of the Colonial Centre, the successor to Aggrey House (another hostel set up by the Colonial Office and used by people from across west Africa and the Caribbean) established by the government in wartime as a home for 'colonial' students.",,,,,,,,,,,,,,,1943,,,,,,,,,,1,1,1,1,1,,,(Hansard 1943: 386),WW 14/01/20,,,1,,,,,,,,,,,,,,1,,,,,,1
l0031,,WASU Hostel,London,NW1 9DR,51.540539,-0.139921,"Site of 'Africa House', a hostel for African students and the headquarters of the the West African Students Union (WASU). Africa House was a hub of black activity in London, especially for Nigerian students, and talks and dances that were both social and political occasions were held here regularly.",https://wasuproject.org.uk/history-of-wasu/,,,,,1,,,1,,,,,,1933,1938,1,1,1,1,,,,,,,,,,,,(CO 847/7/2),WW 14/01/20,,,1,1,,1,1,,1,,,,1,,,,,,,,,,1
l0032,,Princess Beatrice Hospital,London,SW5 9JA,51.488651,-0.19222,"Site of the hospital where Marcus Garvey Jr., son of famous black nationalist Marcus Garvey, was taken sick in spring 1938 before returning to Jamaica soon after.",,,,,,,,,,,,,,April.38,1938,1938,,,,1,,,,,,,,,,,,(Taylor 2002: 132),WW 14/01/20,,,,,,,,,,,,,,,,,,,,1,,,
l0033,Royal Albert Docks,,London,E6 5NE,51.5066,0.0542,"Site of the docks connecting UK with Caribean, used by Jamaican activist Amy Jacques Garvey (the second wife of famous pan-African nationalist Marcus Garvey) and her family to return home to the Caribbean in 1938 after their stay in the city.",,,,,,,,,,,,,,,1938,1938,,,,1,,,,,,,,,,,,(Taylor 2002: 134),WW 14/01/20,,,,,,,,,,,,,,1,,,,,,,,,
l0034,,"University of London, Institute of Education, ",London,WC1E 7HU,51.52109,-0.128681,"Site of the Ministry of Information, which employed Trinidadian radicial writer George Padmore and Nigerian pianist Fela Sowande during the war. It was also home to the Institute of Education, which ran a service to train 'colonial' teachers.",https://libguides.ioe.ac.uk/c.php?g=482420&p=3298563,,,,,,,,,,,,,,1938,1947,,,,1,1,1,1,1,1,1,1,1,1,,,"(James 2015: 1), (Institute of Education Archive)","WW 15/01/20, WW 04/02/20",,,,1,,1,,,,,,,1,,,,1,,,,,,
l0035,Trafalgar Square,,London,WC2N 5DN,51.508056,-0.128108,"Site of various political rallies: in 1935 for protest against Italian aggression in Ethiopia, in 1936 for a Pan African Federation rally against colonialism in 1936, in 1937 and 1938 for groups acting in soldiarity with West Indian Workers, and in 1947 for demonstrations against the Richards Constitution introduced in Nigeria. During a U.S. military parade here in 1943, the black soldiers were given the loudest cheer. ",,,,,1,1,,,,,,,,,1935,1947,1,1,1,1,,,,,1,,,,1,,,"(James 2015: 15), (King 1973: 113), (Adi 1998: 136), (Sherwood 2017-18), (NYT: March 30 1939)","WW 15/01/20, WW 03/02/20, WW 26/02/20, WW 02/04/20",,,,1,,1,,,,,,,,,,,,,,,,,
l0036,,Florence Mills Social Parlour,London,W1F 9QA,51.512622,-0.138394,"Site of the Florence Mills Social Parlour, set up by activist Amy Ashwood Garvey and her Trinidadian partner Sam Manning, which later became the Blue Lagoon Club, a jazz club and site for black intellectuals to meet.",https://dcrn.northeastern.edu/the-florence-mills-social-parlour/,,,,1,1,,,1,,,,,,1936,1950,,1,1,1,1,1,1,1,1,1,1,1,1,,,(James 2015: 29),WW 15/01/20,,,1,1,,,,,1,,,,,,,,,,,,,,
l0037,,Lincoln House,London,SW19 5JU,51.4346,-0.224063,Site of the house where Ethiopian Emperor Haile Selassie briefly stayed in summer 1936,https://www.wimbledonguardian.co.uk/news/9784805.heritage-the-african-emperor-who-found-refuge-in-wimbledon/,,,,,,,,,,,,,June.36,1936,1936,,1,,,,,,,,,,,,,,(Wimbledon Times 2012),WW 15/01/20,,,1,,,,,,,,,,,,,,,,,,,,1
l0038,22 Cranleigh Street,,London,NW1 1PH,51.532824,-0.135646,Site of the flat where Trinidadian writer and radical activist George Padmore lived and hosted visitors. The flat bustled with a constant stream of activity and served as a focal point for activists from around the world. It was described by historian Winston James as 'the workshop of the African anti-colonial struggle.',https://www.georgepadmoreinstitute.org/george-padmore-commemorative-plaque,,,,1,,,,,,,,,,1941,1957,,,,,,,1,1,1,1,1,1,1,,,"(James 2015: 98), (Morgan and Hawkins 2004: 364)",WW 15/01/20,1,,1,1,,,,,,,,,,,,,,,,,,,
l0039,Broadcasting House,,London,W1A 1AA,51.518333,-0.143611,"Site of the headquarters of the BBC, where black figures gave talks and performed on several occasions, notably in the radio series 'Caribbean Voices' and 'Calling the West Indies'. Jamaican writer, poet and journalist Una Marson was a regular contributor, while Trinidadian cricketer Learie Constantine frequently appeared on the 'Brains Trust' programme from 1943 onwards. BBC programs were highly respected and listened to by a wide cross-section of the public. ",,,,,,,,,,,,,,,1942,1958,,,,,,,,1,1,1,1,1,1,,,"(Bidnall 2017: 1), (Mason 2008: 90)","WW 16/01/20, WW 23/01/20",,,,,,1,,,,,,,1,,,,1,,,,,,
l0040,Alexandra Palace,,London,N22 7AY,51.593889,-0.13,"Site of an entertainment venue in North London where black artists performed, Jamaican writer Una Marson learnt to produce programmes, and where African-American duo 'Buck and Bubbles' appeared on the first regular BBC broadcast in 1936. In 1939, Alexandra Palace was described as 'a site of unpredictable chaos with cables inside all over the floor, some of them as big as water hoses'.",,,,,,,,,,,,,,November 1936,1936,1946,,1,,,1,,,,,,,1,,,,"(Bidnall 2017: 86) (Oxford Comapanion 2007: 94/ 169), (Jarrett-Macauley 1998: 144)","WW 16/01/20, WW 14/02/20",,,1,,,1,,,,,,,,,,,,,,,1,,
l0041,,Jig's Club,London,W1F 0TY,51.514223,-0.134448,"Site of a jazz club that was noted as a 'haven for people of African descent in London'. A small but buzzing venue, Jig's was the centre for Trinidadian jazz and calypso musician Cyril Blake's band from where a live broacast was recorded in December 1941, presented by Harry Parry. English jazz singer Beryl Bryden described the club as being in 'the sort of area that didn't have a very savoury reputation in those days'. Inside it had 'about eighty percent coloured people - West Indians, mostly - and there in the corner is this wonderful little jazz band... The club was rather dark, and very smoke-filled; a real America-type club'. It closed following a police raid in 1942.",,,,,,,,,,,,,,,1938,1942,,,,1,1,1,1,1,,,,,,,,"(Bidnall 2017: 116), (Matera 2015: 171)",WW 16/01/20,,,1,,,1,,,1,,,,,,,,,,,,,,
l0042,,Caribbean Club,London,W1D 7HH,51.510826,-0.135173,Site of a jazz club 'with a predominantly black audience' that was under Caribbean ownership. Newsreel footage from 1947 shows audience dancing to calypso and Harlem-style Jazz.,,,,,,,,,,,,,,,1942,1947,,,,,,,,,,,,,1,,,"(Bidnall 2017: 118), (Matera 2015: 177)",WW 16/01/20,,,1,,,1,,,,,,,,,,,,,,,,,
l0043,,Arcade Gallery,London,W1S 4SR,51.509147,-0.141486,"Site of a gallery which hosted the work of black sculptor Ronald Moody in spring 1946. The work, Levels of Organization, 'was an undisguised critique of Western scientific advance, inspired by the immediate example of the war and its nuclear resolution'.",https://blogs.kcl.ac.uk/english/2019/12/04/ronald-moody-between-concrete-and-wood/,,,,,,,,,,,,,May.46,1946,1946,,,,,,,,,,,,1,,,,(Bidnall 2017: 148),WW 16/01/20,,,,,,1,,,,,,,,,,,,,,,1,,
l0044,The Adams Gallery,,London,W1S 3NJ,51.510336,-0.141197,"Site of a gallery which hosted the work of black sculptor Ronald Moody in early 1935. Moody's work, Head with Superimposed Mask, was described by the curators as an example of 'contemporary Negro' work.",https://blogs.kcl.ac.uk/english/2019/12/04/ronald-moody-between-concrete-and-wood/,,,,,,,,,,,,19/01/1935,January.35,1935,1935,1,,,,,,,,,,,,,,,(Bidnall 2017: 150),WW 16/01/20,,,,,1,1,,,,,,,,,,,,,,,1,,
l0045,,Charing Cross Hotel,London,WC2N 5HX,51.508411,-0.124744,"Site of the Charing Cross Hotel, where Barbadian and future actor Earl Cameron worked washing dishes in 1940.",,,,,,,,,,,,,,,1940,1940,,,,,,1,,,,,,,,,,(King-Dorset 2014: 112),WW 16/01/20,,,,,,1,,,,,,,,,,,,,,,,,
l0046,The Savoy Hotel,,London,WC2R 0EZ,51.510197,-0.120583,"Site of the Savoy Hotel, where Barbadian and future actor Earl Cameron worked as a diswasher in 1942 and Trinidadian cricketer Learie Constantine attended a Knights of the Round Table dinner in April 1945.",,,,,,,,,,,,,,,1941,1942,,,,,,,1,1,,,,,,,,(King-Dorset 2014: 113),WW 16/01/20,,,,,,1,,,,,,,,,,,,,,,,,
l0047,The Palace Theatre,,London,W1D 5AY,51.512925,-0.129956,"Site of the the Palace Theatre, where Barbadian Earl Cameron got his first acting role in a performance of 'Chu Chin Chow'. Cameron got the role after his friend recommended him following another player falling ill.",,,,,,,,,,,,,,,1942,1942,,,,,,,,1,,,,,,,,(Bidnall 2017: 177),WW 16/01/20,,,,,,1,,,1,,,,,,,,,,,,1,,
l0048,Royal Academy of Music,,London,NW1 5HT,51.523371,-0.151721,"Site of the Royal Academy of Music, which trained black artists, including Trinidadian pianist Winifred Atwell.",,,,,,,,,,,,,,,1946,1947,,,,,,,,,,,,1,1,,,(Oxford Companion 2007: 34),WW 16/01/20,,,,,,1,,,,,,,1,,,,,,,,1,,
l0049,20th Century Theatre,,London,W11 2QA,51.513349,-0.203346,"Site of the 20th Century Theatre, where the first season of 'Les Ballets Negres' was presented in spring 1946. Les Ballets Negres 'laid the foundation for Caribean and African theatrical dance in Britain'.",,,,,,,,,,,,,30/04/1946,April 1946,1946,1946,,,,,,,,,,,,1,,,,(Oxford Companion 2007: 36),WW 16/01/20,,,,,,1,,,1,,,,,,,,,,,,1,,
l0050,,Camberwell School of Art,London,SE5 8UF,51.474058,-0.080413,"Site of the Camberwell School of Art, which trained black artists including Guyanese Denis Williams.",,,,,,,,,,,,,,,1946,1948,,,,,,,,,,,,1,1,,,(Oxford Companion 2007: 88),WW 16/01/20,,,,,,,,,,,,,1,,,,,,,,1,,
l0051,,East End Munitions Factory,London,,unknown,unknown,Site of a munitions factory that briefly employed Caribbean calyso singer Edric Connor.,,,,,,,,,,,,,,,1944,1944,,,,,,,,,,1,,,,,,(Bourne 2010: 94),OA 20/01/20,,,,,,1,,,,,,,,,,,,,,,,,
l0052,London School of Economics,,London,WC2A 2AE,51.513889,-0.116667,"Site of the LSE, a prestigious university in London where numerous black figures studied, including Jomo Kenyatta, Nathanial Fadipe and Eslanda Robeson. LSE allowed Kenyatta's admission as part of an effort to educate 'colonial' students. St Lucian economist Arthur Lewis was appointed the first black lecturer here in 1938, following the completion of his PhD. Lewis would go on to become the first black professor in the UK following a move to Manchester in 1948.",https://blogs.lse.ac.uk/lsehistory/2018/08/15/once-upon-a-time-when-jomo-kenyatta-was-a-student-at-lse/,,,,,1,,,,,,,,,1935,1947,1,1,1,1,1,1,1,1,1,1,1,1,1,,,"(Gikandi 2000: 9), (Oxford Companion 2007: 163/257)","WW 20/01/20, WW 30/01/20",,,,,,1,,,,,,,1,,,,,,,,,,
l0053,,Charlie Brown's Pub (Railway Tavern),London,E14,51.5088,-0.0247,Site of a Limehouse Pub called Charlie Brown's that was popular with sailors from across the world. Black patrons featured in the 1945 newsreel 'Peace on Earth' that celebrated the end of the war in the Pacific in an unusual public acknowledgement of interracial socializing.,https://www.youtube.com/watch?v=VL1KEWibuiw,,,,,,,,,,,,,August.45,1945,1945,,,,,,,,,,,1,,,,,(Peace on Earth: 1945),OA 20/01/20,,,1,,,,,,1,,,,,,,,,,,,,,
l0054,Victoria Memorial (Buckingham Palace),,London,SW1A 1AA,51.501596,-0.141209,"Site of celebrations to mark the ending of the war in the Pacific, which included black people such as famous racing tipster Ras Prince Monolulu (Peter McKay).",https://www.youtube.com/watch?v=VL1KEWibuiw,,,,,,,,,,,,,August.45,1945,1945,,,,,,,,,,,1,,,,,(Bourne 2010: 106),OA 20/01/20,,,1,,,,,,,,,,,,,,,,,,,,
l0055,The Bedford Hotel,,London,WC1B 4HD,51.520735,-0.123574,"Site of the hotel where Trinidadian cricketer Learie Constantine and family were relocated following being barred from the nearby Imperial. The Bedford was owned by the same company as the Imperial, with staff choosing the replacement after supposedly being 'moved' by Constantine's 'assertion of Britishness'.",,,,,,,,,,,,,30/07/1943,July.43,1943,1943,,,,,,,,,1,,,,,,,(Rush 2002: 379),WW 20/01/20,,,,,1,,,,,,,,,,,,,,,,,,1
l0056,Guy's Hopsital ,,London,SE1 9RT,51.503212,-0.086889,"Site of the hospital where Omo-Oba Adenrule Ademola, daughter of a paramount chief in Nigeria, worked in the late 1930s and 1940s.",,,,,,,,,,,,,,,1938,,,,,1,1,1,1,1,1,,,,,,,(Bourne 2010: 111),OA 20/01/20,,,,,,1,,,,,,,,,,,,,,1,,,
l0057,,Privy Council Chamber,London,SW1A 2AS,51.503326,-0.126657,"Site of the Privy Council Chambers, where judiciaries reviewed legal appeals, including the 1937 appeal of Sierra Leoneon activist I.T.A. Wallace-Johnson against his charges of sedition.",,,,,1,,,,,,,,,,1937,1937,,,1,,,,,,,,,,,,,(Spitzer and Denzer 1973: 445),WW 20/01/20,,,,1,,,,,,,,,,,,,1,,,,,,
l0058,Speaker's Corner,,London,W2 2EU,51.511904,-0.159366,"Site of an open debating platform in Hyde Park, where black activists of the International African Friends of Ethiopia (IAFE) and the International Africa Service Bureau (IASB) spoke often in the second half of the 1930s. Audiences in 1937 were particularly interested in Ethiopia and the West Indian strikes and famous Jamaican pan-African figurehead Marcus Garvey also appeared before his death in 1940.",,,,,1,,,,,,,,,,1935,1939,1,1,1,1,1,,,,,,,,,,,"(Spitzer and Denzer 1973: 448), (King 1973: 186)","WW 20/01/20, WW 30/01/20",,,1,1,,,,,,,,,,,,,,,,,,,
