id,location_id,person_id,name,st_first,ad_hist,ad_city,post_code,coords_lat,coords_long,description,adult_child,assoc_gender,communist_party_member,communist_party_orbit,assoc_country,cntry_jamaica,cntry_grenada,cntry_usa,cntry_canada,cntry_trinidad,cntry_ghana,cntry_kenya,cntry_ethiopia,cntry_sierra_l,cntry_uk,cntry_guyana,cntry_virgin,cntry_barbados,cntry_dominica,cntry_nigeria,cntry_botswn,cntry_uganda,cntry_sa,cntry_stluc,cntry_sudan,cntry_somalia,cntry_mali,cntry_mauritius,cntry_panama,cntry_stvincent,cntry_belize,cntry_liberia,cntry_gambia,second_gen,third_gen,carib_born,namerica_born,africa_born,day_month_yr,month_yr,year_first,year_last,link,prim_source,citation,entrant
i0011,l0006,p0007,Ernest Marke,New Compton Street,,London,WC2H 8DF,51.514905,-0.127733,Ernest Marke was a Sierra Leoneon nightclub owner who opened a club here.,adult,male,,,Sierra Leone,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1940,,,,(Bourne 2010: 31),OA 16/10/19
i0012,l0007,p0006,Learie Constantine,Imperial Hotel,,London,WC1B 5BB,51.521728,-0.124204,"Learie Constantine was a famous and accomplished Trinidadian cricketer who was refused admittance at this hotel on account of being black. The Hotel manager blamed 'the Americans', but Constantine took the hotel to court and won his case.",adult,male,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,30/07/1943,July 1943,1943,,,,(Bourne 2010: 35),OA 16/10/19
i0013,l0008,p0008,Marcus Garvey,2 Beaumont Crescent,,London,W14 9LX,51.489536,-0.205629,"Marcus Garvey was a black nationalist and pan-African activist whose organisation, the Universal Negro Improvement Association, was run from here in the 1930s.",adult,male,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1935,1940,,,(Bourne 2010: 50),OA 16/10/19
i0014,l0009,p0008,Marcus Garvey,53 Talgarth Road,,London,W14 9DD,51.49034,-0.209555,Marcus Garvey was a black nationalist and pan-African activist who lived here before his death.,adult,male,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1935,1940,,,(Bourne 2010: 50),OA 16/10/19
i0015,l0010,p0009,Esther Bruce,,13 Dieppe Street,London,W14 9LP,51.489589,-0.204457,Esther Bruce was a black Londoner who lived here during the war.,adult,female,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Guyana,,,,,,,1941,,https://www.bbc.co.uk/history/ww2peopleswar/stories/28/a2045828.shtml,,(Bourne 2010: 52),OA 16/10/19
i0016,l0011,p0009,Esther Bruce,Brompton Hospital,,London,SW3 6NP,51.489282,-0.170042,Esther Bruce was a black Londoner who worked here as a cleaner and fire watcher during the war,adult,female,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Guyana,,,,,,,,,,,(Bourne 2010: 52),OA 16/10/19
i0017,l0012,p0010,Joseph Cozier Sr.,,Sandford Street Canning Town,London,E16,51.5119,0.0163,"Joseph Cozier was a Guyanan man who lived here sent his three children to be evacuated to Great Bedwin, Wilts.",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,(Bourne 2010: 58-9),OA 16/10/19
i0018,l0013,p0011,Christopher Cozier,St Joachims Catholic Primary School,,London,E16 3DT,51.511394,0.031059,Christopher Cozier was a black child and Londoner who went to school here before being evacuated to Great Bedwin near Marlborough in Wiltshire.,child,male,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Guyana,,,,,,,,,,,(Bourne 2010: 58-9),OA 16/10/19
i0019,l0013,p0012,Joseph Cozier Jr,St Joachims Catholic Primary School,,London,E16 3DT,51.511394,0.031059,Joseph Cozier Jr. was a black child and Londoner who went to school here before being evacuated to Great Bedwin near Marlborough in Wiltshire.,child,male,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Guyana,,,,,,,,,,,(Bourne 2010: 58-9),OA 16/10/19
i0020,l0013,p0013,Joan Cozier,St Joachims Catholic Primary School,,London,E16 3DT,51.511394,0.031059,Joan Cozier was a a black child and Londoner who went to school here before being evacuated to Great Bedwin near Marlborough in Wiltshire.,child,female,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Guyana,,,,,,,,,,,(Bourne 2010: 58-9),OA 16/10/19
i0021,l0014,p0014,Oscar Lynch,Cornwall Street,,London,E1 2QW,51.511453,-0.058735,Oscar Lynch was a man from Barbados who was bombed out of three houses here.,adult,male,,,Barbados,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,(Bourne 2010: 59-60),OA 16/10/19
i0022,l0014,p0015,Kenny Lynch,Cornwall Street,,London,E1 2QW,51.511453,-0.058735,Kenny Lynch was the son of Oscar Lynch from Barbados and was bombed out of three houses here.,child,male,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Barbados,,,,,,,,,,,(Bourne 2010: 59-60),OA 16/10/19
i0023,l0019,p0016,Len Bradbrook,2-5 Lambeth Road,,London,SE1 6HR,51.497909,-0.105985,Len Bradbook was a black Londoner who worked at a cinema here.,adult,male,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Bourne 2010: 72),OA 16/10/19
i0024,l0020,p0017,Adelaide Hall,,Bruton Mews,London,W1J 6LY,51.510935,-0.145109,"Adelaide Hall was an American jazz singer and entertainer who co-owned a private members club here. The club was popular with service personnel and visited by Bob Hope and Fred Astaire, before being bombed in October 1940.",adult,female,,,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1939,,https://www.youtube.com/watch?v=SxEruseWsMU,,(Bourne 2010: 76),OA 16/10/19
i0025,l0020,p0018,Bertram Hicks,,Bruton Mews,London,W1J 6LY,51.510935,-0.145109,"Bertram Hicks was a Trinidadian who owned the New Florida Night Club here. The club was popular with service personnel and visited by Bob Hope and Fred Astaire, before being bombed in October 1940.",adult,male,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1939,,https://www.youtube.com/watch?v=SxEruseWsMU,,(Bourne 2010: 76),OA 16/10/19
i0026,l0020,p0019,Fela Sowande,,Bruton Mews,London,W1J 6LY,51.510935,-0.145109,Fela Sowande was a Nigerian pianist who accompanied Adelaide Hall here before joining the RAF as muscial director of the Colonial Film Unit.,adult,male,,,Nigeria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1938,,https://www.youtube.com/watch?v=SxEruseWsMU,,"(Bourne 2010: 76), (Matera 2015:176)","OA 16/10/19, WW 28/01/20"
i0027,l0021,p0017,Adelaide Hall,135 Rushey Green,,London,SE6 4BQ,51.446062,-0.019015,Adelaide Hall was an American jazz singer and entertainer who performed to a crowd in the midst of an air raid here.,adult,female,,,USA,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,26/08/1940,August 1940,1940,,,,(Bourne 2010: 77-8),OA 16/10/19
i0028,l0166,p0022,Dudley Thompson,"14 The Mansions, Mill Lane, West Hampstead",,London,,51.551381,-0.200905,"Dudley Thompson was a Panamanian pilot in the RAF who met and fell in love with Una Marson, attending regular social gatherings at her flat.",adult,male,,,Panama,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1941,1943,https://archive.voice-online.co.uk/article/pilots-caribbean,,(Pilots of the Caribbean 2013) (Matera 2015: 140-1),WW 13/01/20 OA 06/02/20
i0029,l0005,p0005,Jomo Kenyatta,5 Gerrard Street,,London,W1D 5PE,51.512122,-0.130323,Jomo Kenyatta was a Kenyan student and activist and the future president of an independent Kenya who visited Ernest Marke's nightclub here.,adult,male,,,Kenya,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,(Bourne 2010: 31),OA 14/01/20
i0030,l0005,p0004,Kwame Nkrumah,5 Gerrard Street,,London,W1D 5PE,51.512122,-0.130323,Kwame Nkrumah was an African activist and the future president of an independent Ghana who visited the nightclub set up by Ernest Marke here.,adult,male,,,Ghana,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,(Bourne 2010: 31),OA 14/01/20
i0031,l0022,p0025,Leslie 'Jiver' Hutchinson,Prince of Wales Theatre,,London,W1D 6AS,51.51022,-0.132062,Leslie 'Jiver' Hutchinson was a Jamaican musician who appeared here in a production of 'Happidrome'.,adult,male,,,Grenada,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1942,,,,(Bourne 2010: 85),OA 14/01/20
i0032,l0023,p0025,Leslie 'Jiver' Hutchinson,Royal Albert Hall,,London,SW7 2AP,51.501002,-0.177527,Leslie 'Jiver' Hutchinson was a Jamaican musician who appeared in the 'Seventy Years of Song' gala here in aid of 'Toc H' .,adult,male,,,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1943,,,,(Bourne 2010: 85),OA 14/01/20
i0033,l0031,p0026,Ladipo Solanke,62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,"Ladipo Solanke was a Nigerian student, lawyer and the co-founder of the West African Student's Union, which was originally located at this address.",adult,male,,,Nigeria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1933,1937,,,(Taylor 2002: 95),WW 14/01/20
i0034,l0008,p0027,Eric Walrond,2 Beaumont Crescent,,London,W14 9LX,51.489536,-0.205629,"Eric Walrond was a journalist and novelist who worked at the Universal Negro Improvement Association's head office, whose leader, Marcus Garvey, accused him of ‘'making love to all of them [the female staff] at one and the same time'. ",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,(Taylor 2002: 129),WW 14/01/20
i0035,l0024,p0028,Elisabeth Welch,Piccadilly Theatre,,London,W1D 7DY,51.51091,-0.135591,"Elisabeth Welch was an American singer, actress and entertainer who joined an all-star cast at benefit concert here for London fire service orphans.",adult,female,,,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1941,,,,(Bourne 2010: 86),OA 14/01/20
i0036,l0025,p0028,Elisabeth Welch,Stage Door Canteen,,London,SW1Y 6HY,51.509177,-0.13628,"Elisabeth Welch was an American singer, actress and entertainer who was a regular performer here.",adult,female,,,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1944,,,,(Bourne 2010: 87),OA 14/01/20
i0037,l0008,p0029,Amy Jacques Garvey,2 Beaumont Crescent,,London,W14 9LX,51.489536,-0.205629,"Amy Jacques Garvey was a Jamaican activist, mother of two and the second wife of Marcus Garvey, who headed the Universal Negro Improvement Association in London after Marcus left for a speaking tour in 1937.",adult,female,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,12/08/1937,Aug-1937,1937,,,,(Taylor 2002: 130),WW 14/01/20
i0038,l0026,p0030,Ken 'Snakehips' Johnson,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,Ken 'Snakehips' Johnson was a Guyanan jazz band leader and dancer whose band had a residency here between 1936-1938.,adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1938,,,(Bourne 2010: 89),OA 14/01/20
i0039,l0026,p0031,Leslie Thompson,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,Leslie Thompson was a Jamaican musician and co-founder with Ken 'Snakehips' Johnson of the 'Emperors of Jazz'.,adult,male,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1937,,,(Bourne 2010: 89),OA 14/01/20
i0040,l0026,p0032,Joe Deniz,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,Joe Deniz was a black British guitarrist who was a band member in Leslie Thompson and Ken 'Snakehips' Johnson's 'Emperors of Jazz'.,adult,male,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Cape Verde Isles,,,,,,,1936,1938,,,(Bourne 2010: 89),OA 14/01/20
i0041,l0026,p0033,Yorke de Souza,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,Yorke de Souza was a Jamaican pianist who appeared here as a band member in Leslie Thompson and Ken 'Snakehips' Johnson's 'Emperors of Jazz'.,adult,male,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1938,,,(Bourne 2010: 89),OA 14/01/20
i0042,l0026,p0025,Leslie 'Jiver' Hutchinson,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,Leslie 'Jiver' Hutchinson was a Jamaican musician who was a band member in Leslie Thompson and Ken 'Snakehips' Johnson's 'Emperors of Jazz'.,adult,male,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1938,,,(Bourne 2010: 89),OA 14/01/20
i0043,l0026,p0034,Louis Stephenson,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,Louis Stephenson was a Jamaican saxaphonist who was a band member in Leslie Thompson and Ken 'Snakehips' Johnson's 'Emperors of Jazz'.,adult,male,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1938,,,(Bourne 2010: 89),OA 14/01/20
i0044,l0026,p0035,Bertie King,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,Bertie King was a Jamaican musician who played here as a band member in Leslie Thompson and Ken 'Snakehips' Johnson's 'Emperors of Jazz'.,adult,male,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1938,,,(Bourne 2010: 89),OA 14/01/20
i0045,l0026,p0036,Wally Bowen,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,Wally Bowen was a Trinidadian musician who played here as a band member in Leslie Thompson and Ken 'Snakehips' Johnson's 'Emperors of Jazz',adult,male,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1938,,,(Bourne 2010: 89),OA 14/01/20
i0046,l0026,p0037,Robert Mumford-Taylor,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,Robert Mumford-Taylor was a British pianist who played here as a band member in Leslie Thompson and Ken 'Snakehips' Johnson's 'Emperors of Jazz',adult,male,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,West Africa,,,,,,,1936,1938,,,(Bourne 2010: 89),OA 14/01/20
i0047,l0026,p0038,Carl Barriteau,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,"Carl Barriteau was a Trinidadian musician who played here as a band member in Ken 'Snakehips' Johnson's band, called 'Ken Johnson and his West Indian Dance Orchestra'",adult,male,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1937,1938,,,(Bourne 2010: 89),OA 14/01/20
i0048,l0026,p0039,Dave 'Baba' Williams,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,"Dave 'Baba' Williams was a Trinidadian musician who played here as a band member in Ken 'Snakehips' Johnson's band, called 'Ken Johnson and his West Indian Dance Orchestra'.",adult,,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1937,1938,,,(Bourne 2010: 89),OA 14/01/20
i0049,l0026,p0040,George Roberts,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,"George Roberts was a Trinidadian musician who played here as a band member in Ken 'Snakehips' Johnson's band, called 'Ken Johnson and his West Indian Dance Orchestra'",adult,,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1937,1938,,,(Bourne 2010: 89),OA 14/01/20
i0050,l0026,p0041,Dave Wilkins,,"Old Florida Club, Bruton Mews",London,W1J 6NL,51.510935,-0.145109,"Dave Wilkins was a Barbadian trumpeter who played here as a band member in Ken 'Snakehips' Johnson's band, called 'Ken Johnson and his West Indian Dance Orchestra'",adult,,,,Barbados,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1937,1938,,,(Bourne 2010: 90),OA 14/01/20
i0051,,p0030,Ken 'Snakehips' Johnson,,Willerby's,,,unknown,unknown,Ken 'Snakehips' Johnson was a jazz band leader and dancer whose band had a residency here in 1939.,adult,,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1939,,,,(Bourne 2010: 90),OA 14/01/20
i0052,l0028,p0038,Carl Barriteau,Cafe de Paris,,London,W1D 6BL,51.510451,-0.131883,"Carl Barriteau was a Trinidadian musician who played here as a band member in Ken 'Snakehips' Johnson's band, called 'Ken Johnson and his West Indian Dance Orchestra'",adult,,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1939,1941,,,(Bourne 2010: 90),OA 14/01/20
i0053,l0028,p0039,Dave 'Baba' Williams,Cafe de Paris,,London,W1D 6BL,51.510451,-0.131883,"Dave 'Baba' Williams was a Trinidadian musician who played here as a band member in Ken 'Snakehips' Johnson's band, called 'Ken Johnson and his West Indian Dance Orchestra', killed by German bomb at the club in 1941",adult,,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1939,1941,,,(Bourne 2010: 90),OA 14/01/20
i0054,l0028,p0040,George Roberts,Cafe de Paris,,London,W1D 6BL,51.510451,-0.131883,"George Roberts was a Trinidadian musician who played here as a band member in Ken 'Snakehips' Johnson's band, called 'Ken Johnson and his West Indian Dance Orchestra'.",adult,,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1939,1941,,,(Bourne 2010: 90),OA 14/01/20
i0055,l0028,p0041,Dave Wilkins,Cafe de Paris,,London,W1D 6BL,51.510451,-0.131883,"Dave Wilkins was a Barbadian trumpeter who played here as a band member in Ken 'Snakehips' Johnson's band, called 'Ken Johnson and his West Indian Dance Orchestra'",adult,,,,Barbados,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1939,1941,,,(Bourne 2010: 90),OA 14/01/20
i0056,l0028,p0033,Yorke de Souza,Cafe de Paris,,London,W1D 6BL,51.510451,-0.131883,"Yorke de Souza was a Jamaican pianist who appeared here in Ken 'Snakehips' Johnson's band, called 'Ken Johnson and his West Indian Dance Orchestra'",adult,,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1939,1941,,,(Bourne 2010: 90),OA 14/01/20
i0057,l0028,p0030,Ken 'Snakehips' Johnson,Cafe de Paris,,London,W1D 6BL,51.510451,-0.131883,"Ken 'Snakehips' Johnson was a Guyanan jazz band leader and dancer who was killed here while playing during a two year residency 1939-41. A German bomb landed on the building in March 1941, killing Ken and several others in the band",adult,,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1939,1941,,,(Bourne 2010: 90),OA 14/01/20
i0058,l0028,p0032,Joe Deniz,Cafe de Paris,,London,W1D 6BL,51.510451,-0.131883,"Joe Deniz was a British guitarrist who was a band member in Ken 'Snakehips' Johnson's band, called 'Ken Johnson and his West Indian Dance Orchestra'",adult,,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1939,1941,,,(Bourne 2010: 90),OA 14/01/20
i0059,l0032,p0042,Marcus Garvey Jr,,Princess Beatrice Hospital,London,SW5 9JA,51.488651,-0.19222,"Marcus Garvey Jr was the son of Marcus Garvey, who was taken to hospital at this location.",child,,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,April 1938,1938,1938,,,(Taylor 2002: 132),WW 14/01/20
i0060,l0033,p0042,Marcus Garvey Jr,Royal Albert Docks,,London,E6 5NE,51.5066,0.0542,Marcus Garvey Jr. used these docks to return home following an illness in 1938.,child,,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,September 1938,1938,1938,,,(Taylor 2002: 134),WW 14/01/20
i0061,l0034,p0043,George Padmore,Senate House,,London,WC1E 7HU,51.52109,-0.128681,George Padmore was a Trinidadian activist who worked for the Ministry of Information here during WW2,adult,,,1,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,(James 2015: 1),WW 15/01/20
i0062,l0035,p0043,George Padmore,Trafalgar Square,,London,WC2N 5DN,51.508056,-0.128108,George Padmore was a Trinidadian activist who held rallies here in 1937 and 1938.,adult,,,1,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1937,1938,,,(James 2015: 15),WW 15/01/20
i0063,l0036,p0043,George Padmore,,Florence Mills Social Club,London,W1F 9QA,51.512622,-0.138394,George Padmore was a Trinidadian activist who frequented the Florence Mills Social Parlour here.,adult,male,,1,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1950,,,(James 2015: 29),WW 15/01/20
i0064,l0036,p0044,Amy Ashwood Garvey,,Florence Mills Social Club,London,W1F 9QA,51.512622,-0.138394,"Amy Ashwood Garvey was an activist, business owner and the first wife of Marcus Garvey who was a joint owner and founder of the Florence Mills Social Parlour here.",adult,female,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1940,,,(James 2015: 29),WW 15/01/20
i0065,l0036,p0045,Sam Manning,,Florence Mills Social Club,London,W1F 9QA,51.512622,-0.138394,Sam Manning was a Trinidadian calypso singer and joint owner/ founder of Florence Mills Social Parlour.,adult,male,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1941,,,(Cowley 1990: 4),WW 15/01/20
i0066,l0037,p0046,Emperor Haile Selassie,,Lincoln House,London,SW19 5JU,51.4346,-0.224063,Haile Selassie was the exiled Emperor of Ethiopia who found brief refugee at this location in Wimbledon,adult,male,,,Ethiopia,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,June 1936,1936,1936,https://www.wimbledonguardian.co.uk/news/9784805.heritage-the-african-emperor-who-found-refuge-in-wimbledon/,,(Wimbledon Times 2012) ,WW 15/01/20
i0067,l0035,p0047,Christopher Braithwaite (Jones),Trafalgar Square,,London,WC2N 5DN,51.508056,-0.128108,"Christopher Braithwaite, who sometimes used the surname Jones, was originally from Barbados and after settling in London founded the Colonial Seamen's Association and became secretary of the International Africa Service Bureau and was part of its 1935, 1937 and 1938 rallies here",adult,male,,1,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,August 1935,1935,1938,,,"(James 2015: 45), (Makaloni 2011: 206), (Pennybacker 2009: 98)","WW 15/01/20, WW 07/02/20, WW 11/02/20"
