id,location_id,person_id,name,image link,image credit,st_first,ad_hist,ad_city,post_code,coords_lat,coords_long,description,adult_child,assoc_gender,citation,entrant
i0115,l0023,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,Royal Albert Hall,,London,SW7 2AP,51.501002,-0.177527,"Paul Robeson was an American singer actor and socialist who performed his opening concert here in January 1935 and 1938 and spoke here to rally for Republican Spain in June 1937. Robeson had orginially planned on addressing the rally via Mosow radio, but Germany threatened to jam the broadcast.",adult,male,(Robeson Jr 2001: 223/ 292),WW 21/01/20
i0116,l0085,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,Leicester Square Theatre,,London,WC2H 7BX,51.511365,-0.130152,"Paul Robeson was an American singer actor and socialist whose film ""Sanders at the River"" debuted here in April 1935. Robeson left the movie theater halfway through, disgusted by the colonialism shown in the film. He was coaxed back by his wife Eslanda, also in attendence. ",adult,male,(Robeson Jr 2001: 224),WW 21/01/20
i0117,l0086,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,The Arts Theatre,,London,WC2H 7JB,51.511944,-0.1275,"Paul Robeson was an American singer actor and socialist who performed in ""Basalik"" here in April 1935. Basalisk was about an ""independent-minded African chief"" and ran for three days.",adult,male,(Robeson Jr 2001: 226),WW 21/01/20
i0118,l0087,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,The Embassy Theatre,,London,NW3 3HY,51.5442,-0.1738,"Paul Robeson was an American singer actor and socialist whose play ""Stevedore"" performed ran here in May 1935. Stevedore ran for two weeks.",adult,male,(Robeson Jr 2001: 226),WW 21/01/20
i0119,l0088,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,19 Buckingham Street,,London,WC2N 6EF,51.508487,-0.123348,Paul Robeson was an American singer actor and socialist who lived here with his family in the mid-1930s,adult,male,(Robeson Jr 2001: 236),WW 21/01/20
i0120,l0088,p0070,Eslanda Robeson,https://ago-item-storage.s3.us-east-1.amazonaws.com/6ca8dc9b559d414ea1d65a3591245c09/43398932624_5060280caf_c.jpg?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEGoaCXVzLWVhc3QtMSJHMEUCICKFIKr2v6GWrEU7XcxE0rs9No913%2BPatZ6JPaavcbFVAiEAtz4m27Hk3%2B1%2BCKc3cdoz1T2XtXmlYi%2BSjicOl1vrhl0qvQMIk%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw2MDQ3NTgxMDI2NjUiDIHcoJ1O%2B2noA1%2FOtCqRAyphCci5KNQ9MkHjFYwZeU%2FxFlpE7qlWO2HMEQsvpWejUMyh8WRN5u1sQ%2BBIxw0GLmh6b80nzc1M0DVN9S2fCEtotX3OayKlYC1pL%2F3XQ6oRoxWQYJqE%2FqoDgeWgOE0ipU0gCwyZh2YnlH1HEJVLJSVl%2BuxIkksb81aihKMq4r8CEMAMgdQZFgWVyefTQlmbNEJjYcs%2FyUpiC%2Bene7lyRYeVY3qfWTX9TXKkMBhTluK7UItlFE9KgAlNzVY6dCe4CFRtg7knWwEyn9Ilx0FXWQURaafz8Des8wWJjv5vM0ahUjJpD9iClAVgZJdAPXTn7MJSkjSzhoYxeSgDdbdfKifCytGe0DWu8pBdTRvrR0ht4yDKcSA%2BBC02PpJeurTlmJgEH%2B97yId9VuUalZUml7xTWx0ML33DkL%2Ffsx25oPtZzjvBUo1gea0TI3ueKrEcLky%2FDhAcK%2FpmCUUSqSwx6wefe6Anzncv71Hz1DvQaeI82chM8tEDuXKDBu%2FOVDymLzzptVJ4PNotJxcv3HgAxJeKMNKnqYIGOusBfDKnr5nLII9flvEzOk32gKoiVAps3vZ%2B5etV90jveySzeusOEWkWUt7COomo4IUbovdXj97rXuIKd9dFGIggN1x2IR%2BPSi7ly6qetrlgNaIosrBr%2FmuMGUFsDZeqHADgJqY8buXdPQIp4R3dYoINNzn3atDghurHWIgWevyOrInwgJmto%2BbXi1GJoz0wM%2BUfO7phm4YssF3PlAbVQa27N9qyTwazg64GFfapXlX0e%2BFekB4oSk%2FYze51Dhs6fDn1yUrz9riNk5lz%2BQ%2Byrii%2BoJBRLHVYehjtbeiQTrKgr3Vrpa%2FEYk2qiC8ppw%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210311T183451Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE2UN56YPJ%2F20210311%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1afb923c291545d8a391b6de16b0dffb5e00fb3085d923d0f0881ab1c531269a,"Paul Robeson and Eslanda Goode Robeson June 1, 1933. Held by the Philadelphia Museum of Art",19 Buckingham Street,,London,WC2N 6EF,51.508487,-0.123348,"Eslanda Robeson was an American anthropologist, author, actor and civil rights activist who lived here with her family in the mid-1930s",adult,female,(Robeson Jr 2001: 236),WW 21/01/20
i0121,l0088,p0084,Paul Robeson Jr.,,,19 Buckingham Street,,London,WC2N 6EF,51.508487,-0.123348,"Paul Robeson Jr. was the son of Paul and Eslanda who lived here with his parents in 1936, moving from Pittsfield, MA.",child,male,(Robeson Jr 2001: 236),WW 21/01/20
i0122,l0089,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,,The Westminster Theatre,London,SW1E 5JA,51.49857,-0.14091,"Paul Robeson was an American singer actor and socialist who played the lead in CLR James' play ""Toussaint L'ouveture"" here in March 1936. The play recieved a largely negative reception and attracted few viewers.",adult,male,(Robeson Jr 2001: 239),WW 21/01/20
i0124,l0090,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,,The Unity Theatre,London,WC1X 9JD,51.53013,-0.117788,"Paul Robeson was an American singer actor and socialist who helped to found the Unity Theatre and played without fee here in October 1937 and again in July 1938. The Unity Theatre was a ""worker's theatre"" and built as a working class cultural institution.",adult,male,(Robeson Jr 2001: 284/318),WW 21/01/20
i0125,l0091,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,The Victoria Palace Thetre,,London,SW1E 5EA,51.496778,-0.14325,Paul Robeson was an American singer actor and socialist who sang a benefit concert for Republican Spain here in April 1937. The concert was organized to raise money for the women and children of Spain.,adult,male,(Robeson Jr 2001: 287),WW 21/01/20
i0128,l0094,p0086,Ralph Bunche,https://upload.wikimedia.org/wikipedia/commons/d/d4/Ralph_Bunche_-_NARA_-_559196_%28cropped%29.jpg,"From ""Portraits of Outstanding Americans of Negro Origin"" Painted by Two Women Artists, ca. 1943 - ca. 1963. Held by the National Archives and Records Administration (NARA)",2 Calthorpe Street,,London,WC1X 0JS,51.524494,-0.115345,Ralph Bunche was a future US diplomat and nobel prize winner who attended a meeting of the PAF here in April 1937,adult,male,(Derrick 2008: 338),WW 22/01/20
i0144,l0036,p0094,Jesse Owens,https://upload.wikimedia.org/wikipedia/commons/1/19/Jesse_Owens_1936.jpg,"Jesse Owens, 1936.",,The Florence Mills Social Club,London,W1F 9QA,51.512622,-0.138394,"Jesse Owens was an African American olympic champion who visited the Florence Mills shortly after his success at the Munich Olympics. Amy Ashwood Garvey ""feted"" Owens ""with calypsos and Caribbean cuisine"".",adult,male,(Matera 2015: 147),WW 27/01/20
i0167,l0041,p0100,Fats Waller,https://upload.wikimedia.org/wikipedia/commons/8/83/Fats_Waller_NYWTS.jpg,"From: New York World-Telegram and the Sun staff photographer: Fisher, Alan, photographer. Held by the Library of Congress",,Jig's Club,London,W1F 0TY,51.514223,-0.134448,"Fats Waller was an American jazz legend who played a set here, ""in the small hours of the morning"" in 1938. Waller's 45-minute set took place around 04:00-05:00AM.",adult,male,(Matera 2015: 172),WW 28/01/20
i0182,l0067,p0106,Lena Horne,https://upload.wikimedia.org/wikipedia/commons/7/75/Lena_Horne%2C_1946.jpg,Publicity Still from the film Till the Clouds Roll By (1946),,WASU Hostel,London,NW1 9BS,51.545396,-0.129998,"Lena Horne was an American singer, dancer, actress and activist who visited WASU headquarters in 1947, donating money there.",adult,female,(Matera 2015: 179),WW 28/01/20
i0201,l0031,p0070,Eslanda Robeson,https://ago-item-storage.s3.us-east-1.amazonaws.com/6ca8dc9b559d414ea1d65a3591245c09/43398932624_5060280caf_c.jpg?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEGoaCXVzLWVhc3QtMSJHMEUCICKFIKr2v6GWrEU7XcxE0rs9No913%2BPatZ6JPaavcbFVAiEAtz4m27Hk3%2B1%2BCKc3cdoz1T2XtXmlYi%2BSjicOl1vrhl0qvQMIk%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw2MDQ3NTgxMDI2NjUiDIHcoJ1O%2B2noA1%2FOtCqRAyphCci5KNQ9MkHjFYwZeU%2FxFlpE7qlWO2HMEQsvpWejUMyh8WRN5u1sQ%2BBIxw0GLmh6b80nzc1M0DVN9S2fCEtotX3OayKlYC1pL%2F3XQ6oRoxWQYJqE%2FqoDgeWgOE0ipU0gCwyZh2YnlH1HEJVLJSVl%2BuxIkksb81aihKMq4r8CEMAMgdQZFgWVyefTQlmbNEJjYcs%2FyUpiC%2Bene7lyRYeVY3qfWTX9TXKkMBhTluK7UItlFE9KgAlNzVY6dCe4CFRtg7knWwEyn9Ilx0FXWQURaafz8Des8wWJjv5vM0ahUjJpD9iClAVgZJdAPXTn7MJSkjSzhoYxeSgDdbdfKifCytGe0DWu8pBdTRvrR0ht4yDKcSA%2BBC02PpJeurTlmJgEH%2B97yId9VuUalZUml7xTWx0ML33DkL%2Ffsx25oPtZzjvBUo1gea0TI3ueKrEcLky%2FDhAcK%2FpmCUUSqSwx6wefe6Anzncv71Hz1DvQaeI82chM8tEDuXKDBu%2FOVDymLzzptVJ4PNotJxcv3HgAxJeKMNKnqYIGOusBfDKnr5nLII9flvEzOk32gKoiVAps3vZ%2B5etV90jveySzeusOEWkWUt7COomo4IUbovdXj97rXuIKd9dFGIggN1x2IR%2BPSi7ly6qetrlgNaIosrBr%2FmuMGUFsDZeqHADgJqY8buXdPQIp4R3dYoINNzn3atDghurHWIgWevyOrInwgJmto%2BbXi1GJoz0wM%2BUfO7phm4YssF3PlAbVQa27N9qyTwazg64GFfapXlX0e%2BFekB4oSk%2FYze51Dhs6fDn1yUrz9riNk5lz%2BQ%2Byrii%2BoJBRLHVYehjtbeiQTrKgr3Vrpa%2FEYk2qiC8ppw%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210311T183451Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE2UN56YPJ%2F20210311%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1afb923c291545d8a391b6de16b0dffb5e00fb3085d923d0f0881ab1c531269a,"Paul Robeson and Eslanda Goode Robeson June 1, 1933. Held by the Philadelphia Museum of Art",62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,"Eslanda Robeson was an American anthropologist, author, actor and civil rights activist who visited the WASU hostel in 1935 and 1936",adult,female,(Matera 2015: 58),OA 28/01/20
i0202,l0031,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,Paul Robeson was an American singer actor and socialist who visited the WASU hostel in 1935 and 1936,adult,male,(Matera 2015: 58),OA 28/01/20
i0209,l0040,p0121,John W. Bubbles (Sublett),https://upload.wikimedia.org/wikipedia/commons/c/c4/John_W._Bubbles.jpg,Portrait of John Bubbles by Carl van Vechten. Held by the Library of Congress,Alexandra Palace,,London,N22 7AY,51.593889,-0.13,"John W. Bubbles (Sublett) was an American vaudeville performer who appeared on the first regular TV broadcast from this location in November 1936 as one half of the act ""Buck and Bubbles"".",adult,male,(Oxford Companion 2007: 169),WW 29/01/20
i0210,l0040,p0122,"Ford Lee ""Buck"" Washington",,,Alexandra Palace,,London,N22 7AY,51.593889,-0.13,"Ford Lee ""Buck"" Washington was an American vaudeville performer who appeared on the first regular TV broadcast from this location in November 1936 as one half of the act ""Buck and Bubbles"".",adult,male,(Oxford Companion 2007: 169),WW 29/01/20
i0211,l0116,p0017,Adelaide Hall,https://upload.wikimedia.org/wikipedia/commons/7/7a/Vu_%28magazine%29_N%C2%B077.JPG,"Au revoir Black Birds !, issue 04 09 1929 front cover with Adelaide Hall from Vu",Theatre Royal,,London,WC2B 5JF,51.512778,-0.120556,"Adelaide Hall was an American jazz singer and entertainer who appeared in ""The Sun Never Sets"" here in 1938. Hall was feted by the crowds- to the extent that she would settle to live in the UK for the rest of her life.",adult,female,(Oxford Companion 2007: 205),WW 29/01/20
i0212,l0117,p0123,Teddy Hill,https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-06201:ver01:0001/full/pct:25/0/default.jpg,"Teddy Hill on far right, photograph by Carl van Vechten. Held by the Library of Congress",London Palladium,,London,W1F 7TF,51.514944,-0.140806,Teddy Hill was an American big band leader who led the Cotton Club Revue during a London visit in 1937.,adult,male,(Oxford Companion 2007: 235),WW 29/01/20
i0213,l0117,p0124,Dickie Wells,https://ago-item-storage.s3.us-east-1.amazonaws.com/9a1256dff7fd4e7d8f64f7d82a4d4606/iiif-service_music_musgottlieb_musgottlieb-09001_ver01_0001-full-pct_6.25-0-default.jpg?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHUaCXVzLWVhc3QtMSJHMEUCIQCocHMIYWkUVKy5l%2BEWHMEIcZL00ii66G%2BKM8Kes7GuagIgA4ltfD6mEJeGDAPOkClHSTer2TNVIY3GAu3SQSLJ%2BC4qvQMIjv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw2MDQ3NTgxMDI2NjUiDDQ8x5VvELylQZ4FRiqRAy0UVShxOtQI6yLi9G2sv7%2BDVgL4hsnXHU8pDSqtoQhf6k4L9RYBkplP8LSY4BzDpYbjmQ20Pg2CW1I9tkmtSYz88AZZzK4kClZhqipHDFgFzctfl%2FuXK0si%2BkJFAgO%2B2lqaPr6XUA1SOYjs%2BHzEZ1nE8NS7wWD4n%2BLOzLhIeQh2lI2mcKNEMHYsUZdF3MF065CFyXttlLcDgzBWAgx%2BHgL2Knip8zJZ3aY6BYWxY1%2FXo9HT5mbcNaF8lnYh%2F%2BvpsTZJr6KTeFvpSlRxBFMO%2FQSfRzLTSfmkF0lzBIqZwMtVscgTa8ZXR%2FeUMiOGeaRzV25rzG%2Bmop%2BYBX8PHO6idKtDhJRYovP9amEq%2BcGTkYIgjY5CE53hnsFwDafbRXm%2FOKEYFLEyRGB8zIlvEokJOJl2WLcUTWSItKqqk%2BXGdxX0fv43S9O%2B0b5UjeUL0Pj5XCefq8rYbCq5ykr3GlSq4cn7ioKo5L7EzTYNaJPTCPpiAgCl7UFwA2TqNXSeq1IpEa2NyDgB84n7vjP9HPybzqzgMMvC84EGOusB7IZXtHradZNdBjtXvC0z04N2BsZR2wS2XwoTscQ%2FCNeUrIW3I%2BhA%2F44%2B3rqKc0wbLpvJemeiNHUqJGisTD5PghCzNRFwSIc4eMKVRWSL19Glcgf1CYg3vDLspCB6nZypz457nfa1606NsC3abSje6R1Lv9g99BsqKrLfmHwc2B1gZ%2FxvCXmIxb62JScIryT3ql%2BdewqK4ZAMo1iElSDT%2B6uylRunERsYcepRuJpyVTkJR9jMWv6W%2FV3s5breJTTozlpgzihx%2BoIHC1Xj9zsIrbZyqBbghEDnsb9GhI7SG65TmFR85%2BCwrFFOJA%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210301T142920Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE4Y3SFVPE%2F20210301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=f7528282c0244f43c364d56c2f7746c8fc379e34add6ef47403c5e19cbe88683,"Gottlieb, William P. Portrait of Dicky Wells, Eddie Condon's, New York, N.Y., ca. Jan. United States, 1947.",London Palladium,,London,W1F 7TF,51.514944,-0.140806,Dickie Wells was an American jazz trombonist who perfomed with the Cotton Club here in 1937.,adult,male,(Oxford Companion 2007: 235),WW 29/01/20
